id,page_name,page_type
903,Telmário Mota,politician
904,Israel en Guatemala,government
905,Bayer,company
906,Nike+ Run Club,company
907,Rachel Notley,politician
908,Tom Koenigs,politician
909,Today Show,tvshow
910,City of Detroit Government,government
911,The Katering Show,tvshow
912,Unbreakable Kimmy Schmidt,tvshow
913,Municipalidad de Villa Allende,government
914,Allo Resto by Just Eat,company
915,"India in Indonesia (Consulate General of India, Bali)",government
916,New York State Senate,government
917,Rhode Island National Guard,government
918,Movistar Colombia,company
919,528th Sustainment Brigade (Special Operations) (Airborne),government
920,Arthur Spring,politician
921,Sensei Combate - Sportv,tvshow
922,"Estado de Guanajuato, México",government
923,Hexaware Technologies,company
924,Only in America with Larry the Cable Guy,tvshow
925,Steffen Kampeter,politician
926,BBC Watchdog,tvshow
927,U.S. Office of Personnel Management,government
928,Tigerenten Club,tvshow
929,Jeff Brandes,politician
930,"Len Webber, MP",politician
931,Dunkin' Donuts,company
932,Vittorio Medioli,politician
933,Howard County Police Department,government
934,Mountain Dew Philippines,company
935,US National Weather Service Wilmington OH,government
936,Winfried Kretschmann,politician
937,대한민국 국토교통부,government
938,Lael Varella,politician
939,Man With A Plan,tvshow
940,Telia Sverige Företag,company
941,Der Hundeprofi,tvshow
942,"Starwood Hotels & Resorts Worldwide, Inc.",company
943,Monmouth County Sheriff's Office,government
944,Alcaldía Local de Ciudad Bolívar,government
945,Tony Abbott,politician
946,LiftMaster,company
947,Katherine Clark,politician
948,SHARK Energy,company
949,カナダ観光局,company
950,Wagas,tvshow
951,Rocksbox,company
952,Discover Ireland,company
953,Cumhuriyet Gazetesi,company
954,Mark McArdle MP,politician
955,Hansjörg Durz,politician
956,Florian Braun,politician
957,Majandus- ja Kommunikatsiooniministeerium,government
958,Fox & Friends First,tvshow
959,Fort Boyard TVA,tvshow
960,Ignazio Corrao,politician
961,PEO Soldier,government
962,Tribunal Regional Eleitoral do Piauí,government
963,綜藝玩很大Mr.Player,tvshow
964,Valdir Colatto,politician
965,McCain Foods (Canada),company
966,Michigan Senate Democrats,government
967,Wild Atlantic Way,company
968,Ulrike Lunacek,politician
969,Yoplait Australia,company
970,Edgell Australia,company
971,Movistar Negocios Argentina,company
972,Permanent Mission of Singapore to the United Nations,government
973,Colorado House Democrats,government
974,Walter Ceballos,politician
975,Joy FM,company
976,Queer as Folk,tvshow
977,Medical Readiness and Training Command,government
978,Александар Вучић,politician
979,Arantxa Tapia,politician
980,Más que noticias,tvshow
981,UPSjobs,company
982,"City of Salisbury, North Carolina - Government",government
983,1st Cavalry Division,government
984,MILO® Philippines,company
985,Aviva,company
986,Marvel's Daredevil,tvshow
987,Centro Cultural Kirchner,government
988,"Annette Karl, MdL",politician
989,Ovidiu Raeţchi,politician
990,StreetArtGlobe,company
991,ปริศนาฟ้าแลบ,tvshow
992,Préfet de l'Aisne,government
993,Marijana Petir,politician
994,Hasip Kaplan,politician
995,Kultuuriministeerium,government
996,Yorn,company
997,USFWS Wildlife & Habitat Conservation,government
998,Mulawin VS Ravena,tvshow
999,"India in Germany (Embassy of India, Berlin)",government
1000,Ministria për Evropën dhe Punët e Jashtme - Republika e Shqipërisë,government
1001,Carnival Cruise Line,company
1002,duplo,company
1003,SBS Dateline,tvshow
1004,Australia in Fiji,government
1005,TAROM,company
1006,Sylvia Stierstorfer,politician
1007,U.S. Army Aviation and Missile Command,government
1008,Sophie Løhde,politician
1009,The Flintstones,tvshow
1010,José Manuel De la Sota,politician
1011,VISIT FLORIDA,company
1012,La Querida del Centauro,tvshow
1013,Juliette Méadel,politician
1014,Senator Siobhan Dunnavant,government
1015,Melanie Huml,politician
1016,Ibrahim Taguri,politician
1017,US National Weather Service Phoenix Arizona,government
1018,The Real L Word,tvshow
1019,The People's Court,tvshow
1020,吳益政－理想城市高雄市,politician
1021,Uwe Kirschstein,politician
1022,Serenata de Amor,company
1023,Agência Brasileira de Desenvolvimento Industrial - ABDI,government
1024,Coldeportes,government
1025,U.S. Fish and Wildlife Service Midwest Region,government
1026,Maroc Telecom,company
1027,Bugaboo,company
1028,Fala ES,tvshow
1029,Volkswagen,company
1030,McDonald's,company
1031,The Wheel,tvshow
1032,Alan Abela-Wadge,politician
1033,Korean Air,company
1034,Starbucks Chile,company
1035,Mary Fallin,politician
1036,Governo de Mato Grosso,government
1037,Rona Ambrose,politician
1038,Bakers,company
1039,Amir Khadir,politician
1040,Gobierno del Estado de Tamaulipas,government
1041,"U.S. Embassy Ankara, TURKEY",government
1042,The Crazy Ones,tvshow
1043,Ovaltine USA,company
1044,Lay's,company
1045,CMT Hot 20 Countdown,tvshow
1046,مجموعة إزدان القابضة - Ezdan Holding Group,company
1047,U.S. Embassy Denmark,government
1048,Telekom HU,company
1049,"L'Australie en Nouvelle-Calédonie, Polynésie Française et Wallis et Futuna",government
1050,NHS Choices,government
1051,The Simple Cooking Channel,company
1052,KLM Ecuador,company
1053,Central Intelligence Agency (CIA),government
1054,Rogers,company
1055,Sebastiano Barbanti,politician
1056,ING Bank Türkiye,company
1057,L'OCCITANE en Provence,company
1058,Raymundo Martínez Carbajal,politician
1059,Santander Río,company
1060,Richard Bruton TD,politician
1061,Maria Caulfield MP,politician
1062,Martin Diedenhofen,politician
1063,NY State Parks & Historic Sites,government
1064,Kementerian Luar Negeri RI,government
1065,Ministère de l'Equipement - وزارة التجهيز,government
1066,Die Bundeswehr in Thüringen,government
1067,Austin Fire Department,government
1068,Utah Division of Wildlife Resources,government
1069,Allegro,company
1070,The Five,tvshow
1071,Air Force Reserve,government
1072,El Tiempo en TVE,tvshow
1073,Activia,company
1074,Van's Foods,company
1075,Karina Adsbøl,politician
1076,Christian Porter,politician
1077,David de Burgh Graham,politician
1078,European Union in New Zealand,government
1079,Ambassade de Suisse à Abidjan,government
1080,Easy Taxi,company
1081,Future Generali - General Insurance,company
1082,CarWale,company
1083,South 2 North - Al Jazeera,tvshow
1084,"US Army Infantry School, Ft Benning, Georgia",government
1085,ISU Maramures,government
1086,Ohio Department of Developmental Disabilities,government
1087,National Energy Technology Laboratory,government
1088,Deputado Vinícius Gurgel,politician
1089,Leona Alleslev,politician
1090,Arndt Kohn,politician
1091,Quick,company
1092,Pauly D. Project,tvshow
1093,Tribunal Regional Eleitoral do Espírito Santo,government
1094,Australia in Israel,government
1095,Grupo Bimbo,company
1096,משרד החינוך,government
1097,Joint Base Lewis-McChord ACS Exceptional Family Member Program (EFMP),government
1098,Xerox,company
1099,The Voice van Vlaanderen,tvshow
1100,Polizei NRW Bielefeld,government
1101,Comuna 4 de Buenos Aires,government
1102,BlaBlaCar,company
1103,14th Public Affairs Detachment,government
1104,Suunto,company
1105,NSW SES - Braidwood Unit,government
1106,Yahoo!トラベル,company
1107,Maryland's Commitment to Veterans,government
1108,الهيئة العامة للدفاع المدني و الإسعاف عمان,government
1109,Kakha Kaladze კახა კალაძე,politician
1110,Lim Biow Chuan,politician
1111,Sébastien Proulx,politician
1112,69th Air Defense Artillery Brigade,government
1113,www.lastminute.com.au,company
1114,"City of Jacksonville, Florida - Government",government
1115,Gilmore Girls,tvshow
1116,Microsoft for Work Japan,company
1117,Jeff Smith MP,politician
1118,Celebrity Taste Makers,tvshow
1119,NC Dept of Environmental Quality,government
1120,陳超明-阿明哥粉絲團,politician
1121,Elie Aboud,politician
1122,Gilles Lebreton,politician
1123,National Guard,government
1124,Assembleia Legislativa de Santa Catarina - Alesc,government
1125,Louisville Metro Police Department,government
1126,FOX Teen Choice Awards,tvshow
1127,Stefan Schwartze,politician
1128,Les Guignols,tvshow
1129,Intersport Suomi,company
1130,Asad Umar,politician
1131,Mam Talent TVN,tvshow
1132,Mike Mohring,politician
1133,7 Days,tvshow
1134,5-Minute Crafts,company
1135,Ivana Simeoni - Portavoce al Senato,politician
1136,段宜康,politician
1137,Develop Louisville,government
1138,Giuseppe Castiglione,politician
1139,Sunday Brunch,tvshow
1140,Vaya Semanita,tvshow
1141,Jazz Ambassadors,government
1142,Matt Taylor,politician
1143,Beeline Armenia,company
1144,Decathlon Dubai,company
1145,Vice President of India,government
1146,საქართველოს პარლამენტი,government
1147,Telenor India,company
1148,CSI: Miami,tvshow
1149,Robert Goguen,politician
1150,Mette Bock,politician
1151,Enrico Letta,politician
1152,FlyScoot,company
1153,Franz Josef Pschierer,politician
1154,Carlos Floriano Corrales,politician
1155,"Myndigheten för ungdoms- och civilsamhällesfrågor, MUCF",government
1156,Wright's Liquid Smoke,company
1157,Smarties,company
1158,Agenzia per l'Italia Digitale,government
1159,Secret Diary of a Call Girl,tvshow
1160,Enlightened,company
1161,Maryland Horse Industry Board,government
1162,العمليات الخاصة Iraqi Special Operations Forces,company
1163,Malta India,company
1164,Shashi Tharoor,politician
1165,Senador Raimundo Lira,politician
1166,Life On Marbs,tvshow
1167,Triumph,company
1168,葉宜津,politician
1169,European Union and the Palestinians,government
1170,redBus,company
1171,Emma Reynolds,politician
1172,Around the Horn,tvshow
1173,Scotiabank,company
1174,Gli Intoccabili La7,tvshow
1175,Samsung Singapore,company
1176,Careers at Dell,company
1177,Static Shock,tvshow
1178,Poliisit,tvshow
1179,Polish Embassy Dublin,government
1180,Marcio Lacerda,politician
1181,Vilma Moronese Cittadina Senatrice M5S,politician
1182,Ten News,tvshow
1183,Elementary,tvshow
1184,Walgreens,company
1185,TARATATA OFFICIEL,tvshow
1186,Mara Mucci,politician
1187,NASA Planetary Missions Program,government
1188,Max Schirmer,politician
1189,Embassy of The Netherlands in Libya سفارة هولندا في ليبيا,government
1190,trivago,company
1191,Hostages,tvshow
1192,T.C. Deventer Başkonsolosluğu/ Consulaat-Generaal van Turkije in Deventer,government
1193,Marc Serré,politician
1194,New York State Office of General Services,government
1195,Rydell and Glacial Ridge National Wildlife Refuges,government
1196,Beyoğlu Belediyesi,government
1197,Câmara Municipal de Lisboa,government
1198,III MEF Marines,government
1199,登真-邱議瑩,politician
1200,Gobierno del Estado de Nuevo León,government
1201,Prefeitura de São José,government
1202,Willy Borsus,politician
1203,台灣阿童─童仲彥,politician
1204,עיריית דימונה,government
1205,"2nd Brigade Combat Team, 82nd Airborne Division",government
1206,WD,company
1207,T.C. Londra Büyükelçiliği / Turkish Embassy in London,government
1208,Alain Mathot,politician
1209,"101st Airborne Division Sustainment Brigade ""Lifeliners""",government
1210,Label Worx,company
1211,Graceland TV,tvshow
1212,Food Fighters,tvshow
1213,JCPenney,company
1214,Whirlpool Latam,company
1215,Bradley Master Gunner,government
1216,Pequenas Empresas & Grandes Negócios,tvshow
1217,Hotel MyStays,company
1218,Saving Hope,tvshow
1219,Cornel Popa,politician
1220,INDY International Festival,company
1221,Governo do Estado de Santa Catarina,government
1222,Talk Stoop,tvshow
1223,David Burrowes,politician
1224,Franziska Giffey,politician
1225,Star Alliance,company
1226,Pat McCrory,politician
1227,Instituto Nacional de Vías - Invías,government
1228,Jeff Merkley,politician
1229,Antonio Miloshoski,politician
1230,Star Trek,tvshow
1231,高雄市公共腳踏車粉絲團,government
1232,Horná Dolná,tvshow
1233,Les carnets de Julie,tvshow
1234,Randall Garrison,politician
1235,WD,company
1236,Iara Bernardi,politician
1237,ABB,company
1238,Petr Dolínek,politician
1239,IFISH w TACKLEWORLD,tvshow
1240,Francekoweït,government
1241,Bubble O'Bill,company
1242,Eurêka! Canada,government
1243,Ευρωπαϊκή Επιτροπή στην Ελλάδα,government
1244,Air Canada,company
1245,"HSC,  XVIII Airborne Corps",government
1246,სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,government
